Page ID,Page name,Disclaimer,Amount spent (CZK)
146955527905,EU Civil Protection & Humanitarian Aid,These ads ran without a disclaimer,428
111823221634294,Jule Haehner,These ads ran without a disclaimer,414
56987874554,Liga otevřených mužů,Liga otevřených mužů,405
101912608033407,Petra Prokšanová,Petra Prokšanová,403
139379141293,Paměť národa,These ads ran without a disclaimer,402
481882431991896,Česko-německý fond budoucnosti/ Deutsch-Tschechischer Zukunftsfonds,Česko-německý fond budoucnosti,401
730141167045202,Brumlovka,Passerinvest Group,400
514533821741122,Pestré jídelny,Nesehnutí,395
103534185519909,Laba,These ads ran without a disclaimer,390
152130771567001,3dsense,These ads ran without a disclaimer,386
162177293829972,Rádio Blaník,"Media Marketing Services, a.s.",382
106967874570478,"Giancarlo Lamberti, zastupitel Prahy 1","Giancarlo Lamberti, zastupitel Prahy 1",379
1624542154525628,Vítězslav Novák,Vítězslav Novák,374
370893616113485,Petr Kowanda,Petr Kowanda,372
1982660762016859,Zuzana Ožanová - poslankyně,Zuzana Ožanová - poslankyně,368
161735100539713,By PINK,By PINK,362
241669269037364,Tomáš Messing,Spolek Odchod,360
2149656682011295,RadoVan,RadoVan,356
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,355
245094455536925,FOUR PAWS,These ads ran without a disclaimer,353
317427175024030,Proměny zahrad,Karel Komárek Family Foundation,350
100740555869822,Martin Štěrba - zastupitel Prahy 8,Piráti Praha 8,349
223627274430476,FS Limbora,These ads ran without a disclaimer,346
107572505087543,AŘOV - Asociace řidičů osobních vozidel,"Asociace řidičů osobních vozidel, z.s.",335
107898798686030,Postcards from Ukraine,These ads ran without a disclaimer,331
130981220272725,Zelení Praha 3,Zelení Praha 3,321
1724429451179435,Alternativa středočeské D3,Alternativa středočeské D3,320
456578391030191,Vzdělávací program Varianty -  Člověk v tísni,Člověk v tísni o.p.s.,315
107476418136976,Někdo Ti uvěří,Někdo Ti uvěří,308
566113207093999,Krásné Kobylisy,These ads ran without a disclaimer,307
102124972915879,Jan Vocel - zprávy ze sídliště Ďáblice,Jan Vocel - zprávy ze sídliště Ďáblice,300
1167350476752262,Michal Zuna,Michal Zuna,299
351244834736685,Conquer Countries,These ads ran without a disclaimer,292
1382379128444365,Margita Balaštíková - poslankyně,Margita Balaštíková - poslankyně,287
768678816522623,Filament PM,These ads ran without a disclaimer,285
162501966947995,Minimální důstojná mzda,Minimální důstojná mzda,284
364927456714255,jiri.pribyl,These ads ran without a disclaimer,281
367286396696386,ITTEC,These ads ran without a disclaimer,281
728704317229076,Institute of Strategic Investments,These ads ran without a disclaimer,278
115547421460987,sazkar_petr,These ads ran without a disclaimer,277
426207097775426,ebankrot.cz,"ADKINS Legal, s.r.o.",271
102423042522223,Water Trek,These ads ran without a disclaimer,268
106174915301896,Historické dárky,These ads ran without a disclaimer,267
597980334012769,Svoboda a přímá demokracie Moravskoslezský kraj - SPD,Svoboda a přímá demokracie (SPD),260
113575165174742,Učím o klimatu,Člověk v tísni o.p.s.,253
283796335522682,Lepší Beroun,Lepší Beroun,249
118843734554059,Republicans Overseas Czech Republic,Republicans Overseas Czech Republic,248
109056560836,iFortuna.cz,These ads ran without a disclaimer,246
293800277153071,Frontier Feed,These ads ran without a disclaimer,243
114078158240174,Ray Arturo Thai-Binh 192670,These ads ran without a disclaimer,243
163914317133681,Jana Hanzlíková - poslankyně,Jana Hanzlíková - poslankyně,243
1649724681776439,ProMOST,ProMOST,238
112201698344047,Milan Urban,Milan Urban,237
103055665668357,Koridor UA,Koridor UA,235
251987717997284,Společně proti rasismu a fašismu,Společně proti rasismu a fašismu,233
102845835976540,Zeleneč - oficiální stránka obce,These ads ran without a disclaimer,232
119624098506,Kateřina Konečná,Kateřina Konečná,232
226207821151572,Marek Novák,Marek Novák,232
105767998915813,Javed Becker,These ads ran without a disclaimer,230
108452900574150,Institut pro restorativní justici,"Institut pro restorativní justici, z. s.",226
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,222
100625058724688,Newsgate.cz,Newsgate.cz,215
110321812760526,Quick Trade,These ads ran without a disclaimer,214
629968647053447,Compassion in World Farming Česko,Compassion in World Farming Česko,213
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,212
189589554241,Filip Nekola,ODS - Občanská demokratická strana,211
100793736209591,Česká republika na 1. místě,Česká republika na 1. místě,209
917450784989188,Philips Hue Česko a Slovensko,These ads ran without a disclaimer,202
28312410177,World Food Programme,These ads ran without a disclaimer,202
553773474671244,Martin Kupka,Občanská demokratická strana,200
952005618247538,Martin Červíček,Martin Červíček,198
693378177364840,ProVeg International,These ads ran without a disclaimer,196
1451909405021929,Applifting,Applifting s.r.o.,195
297117233483758,En Protos,These ads ran without a disclaimer,195
100647378751279,Pavla Pivoňka Vaňková STAN,Pavla Pivoňka Vaňková STAN,192
154933116927,Socialistická Solidarita (SocSol),"Socialistická Solidarita, z.s.",188
468803866296815,Jaroslav Linek,Jaroslav Linek,184
295548227773122,Triada,Triada spol. s r. o.,182
104398128891546,Jan Hrušovský,Jan Hrušovský,181
112796661410626,Dárek pro Putina,These ads ran without a disclaimer,180
113489557033298,Mourek - politická strana,Libeňský mourek,179
284084691771952,PRAHA TV,These ads ran without a disclaimer,176
133861913307427,VYŠEHRAD nakladatelství,These ads ran without a disclaimer,175
103513999144283,Rupesh Prince,These ads ran without a disclaimer,173
104972032239881,AntiYoutuber.cz,These ads ran without a disclaimer,169
118904461524646,Frank Bold,Frank Bold,165
124884579804,Nakladatelství METAFORA,These ads ran without a disclaimer,161
108500818518573,SEN 21 pro Prahu 13,SEN 21 pro Prahu 13,161
151503164487,Nakladatelský dům GRADA,These ads ran without a disclaimer,160
822146574595819,Agrární komora České republiky,These ads ran without a disclaimer,159
107733504431288,CEVRO ARENA,"CEVRO ARENA, s.r.o.",159
213802435698566,TVbydleni.cz,Living Media s.r.o.,158
351328815012336,Milan Krajča,Milan Krajča,157
605208513007852,Pavel Sehnal,Aliance pro budoucnost,157
1712261878817112,Artur Chmelevski,These ads ran without a disclaimer,156
100819232400756,Koncert pro budoucnost,These ads ran without a disclaimer,155
1571432816412854,Ministerstvo pro místní rozvoj,Ministerstvo pro místní rozvoj ČR,154
594426030604429,Martin Procházka,Martin Procházka,151
441954716206226,Piráti Praha 10,Piráti Praha 10,150
566910516721103,Jaroslava Pokorná Jermanová,Jaroslava Pokorná Jermanová,150
104087131747633,Zaostřeno,Zaostřeno,149
574403236101561,Ivo Vondrák,hnutí O.k.,148
124872365383,CROSS][CLUB - officiall,These ads ran without a disclaimer,147
20665390582,Medical Aid for Palestinians,These ads ran without a disclaimer,145
321762510282,Michal Kučera,Michal Kučera,143
736600316444348,Mike Hall,These ads ran without a disclaimer,140
102094013222561,B. Braun,These ads ran without a disclaimer,139
107865768931987,Maria Hanclova,Maria Hanclova,134
52479821102,Týdeník Respekt,Respekt Media a.s.,133
103895482145144,Zdeněk Kettner - SPD,Zdeněk Kettner - SPD,131
709036592472710,Filozofická fakulta Masarykovy univerzity,Filozofická fakulta Masarykovy univerzity,129
557700780951101,"Vojtěch Bednář, sociolog","Vojtěch Bednář, sociolog",129
110395247524264,Švýcarská demokracie,Švýcarská demokracie (www.svycarska-demokracie.cz),128
669681936534464,Mountains on Stage,These ads ran without a disclaimer,126
90594467955,Česká spořitelna,These ads ran without a disclaimer,126
1507953705933712,Nazdar BAZAR,These ads ran without a disclaimer,126
349496602364,ODS Středočeský kraj,ODS Středočeský kraj,125
192926034666717,Václav Pláteník,Václav Pláteník,123
109935354814412,Healthy Person,These ads ran without a disclaimer,122
287826151086535,La France en bonne santé,These ads ran without a disclaimer,122
160155036136107,Digital Health,These ads ran without a disclaimer,122
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,119
121556874557638,DAS FILMFEST - festival německy mluvených filmů,These ads ran without a disclaimer,118
426667000534079,"Kamila Bláhová, starostka a poslankyně","Kamila Bláhová, starostka a poslankyně",117
525606624188429,revue Prostor,These ads ran without a disclaimer,115
634087193362282,Společnost pro obranu svobody projevu,Společnost pro obranu svobody projevu,114
168144179718733,Psychologie a příroda,Psychologie a příroda,113
1425502434411911,Transparent CZ,These ads ran without a disclaimer,111
157741540937883,CARE Česká republika,These ads ran without a disclaimer,110
252676697931176,Our planet,These ads ran without a disclaimer,108
435990819604484,News portal,These ads ran without a disclaimer,105
365685333954209,Eastwest European Institute,These ads ran without a disclaimer,101
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",≤100
