Page ID,Page name,Disclaimer,Amount spent (CZK)
135156639833927,United Nations OCHA,These ads ran without a disclaimer,≤100
461565423919014,ORAZ,These ads ran without a disclaimer,≤100
668779973132208,Regionální televize Ústecko,These ads ran without a disclaimer,≤100
348460895026516,Berryczsk,These ads ran without a disclaimer,≤100
101719699329356,Klára Šimáčková Laurenčíková - zmocněnkyně vlády pro lidská práva,These ads ran without a disclaimer,≤100
111107168256877,Karel Dvořák,These ads ran without a disclaimer,≤100
1477502522567102,Expres.cz,These ads ran without a disclaimer,≤100
347265340270,Architecture Competitions,These ads ran without a disclaimer,≤100
1499849183611079,Obec Hrobčice,These ads ran without a disclaimer,≤100
177975559393132,Candy Bull,These ads ran without a disclaimer,≤100
0,Instagram User 4987544339,These ads ran without a disclaimer,≤100
687112454714403,Jižní Svahy Zlín,Jižní Svahy Zlín,≤100
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • poslanec za Vysočinu,≤100
1339509966074626,Hope Recycling Station,These ads ran without a disclaimer,≤100
166738586813797,Břetislav Štefan,These ads ran without a disclaimer,≤100
389319097602660,Hluboká nad Vltavou - oficiální,These ads ran without a disclaimer,≤100
165087446679536,Feel The Facts,These ads ran without a disclaimer,≤100
108233764756974,Energie Bez emisí,These ads ran without a disclaimer,≤100
233863789801404,Petr Hlaváček,These ads ran without a disclaimer,≤100
259697520569249,Příroda na prvním místě,These ads ran without a disclaimer,≤100
110348665475630,Sheshowstore Clothing,These ads ran without a disclaimer,≤100
100424959604438,Acted Moldova,These ads ran without a disclaimer,≤100
195719543633942,Tomáš Doležal SPD,These ads ran without a disclaimer,≤100
152180357976361,Tadeáš Bača,Tadeáš Bača,≤100
370012586206372,Rádio Socio,Podcast Media s.r.o.,≤100
178171871926,Dilmah Tea,These ads ran without a disclaimer,≤100
0,Instagram User 2262289910,These ads ran without a disclaimer,≤100
335021203027868,Martin Skřivanec,These ads ran without a disclaimer,≤100
178554872015652,House Cultures,These ads ran without a disclaimer,≤100
567147076746992,Senátor Jiří Vosecký - Vosa v Senátu,Starostové pro Liberecký kraj,≤100
121414737897090,"LEXUM - oční kliniky, ambulance, optiky",These ads ran without a disclaimer,≤100
530237993497704,Dr. Eva Harper,These ads ran without a disclaimer,≤100
1396621210579935,Stážujeme.cz,Stážujeme.cz,≤100
178674135334159,Parrot: AI Voice Generator,These ads ran without a disclaimer,≤100
233310997324608,Nezávislí pro Stříbro,These ads ran without a disclaimer,≤100
308412647383,JC-Metal,These ads ran without a disclaimer,≤100
52479821102,Týdeník Respekt,These ads ran without a disclaimer,≤100
181944308330576,Pavel Koňařík,Pavel Koňařík,≤100
111944454819587,Studio W - firemní vzdělávání,These ads ran without a disclaimer,≤100
778710765608493,MČ Praha - Nedvězí,These ads ran without a disclaimer,≤100
557700780951101,"Vojtěch Bednář, sociolog","Vojtěch Bednář, sociolog",≤100
100819232400756,Koncert pro budoucnost,These ads ran without a disclaimer,≤100
108610752315831,Budiž teplo,These ads ran without a disclaimer,≤100
625530284136204,Zlín 21,Zlín 21,≤100
104497295574285,Oto Řezáč - revival,Oto Řezáč - revival,≤100
155406703122,Arnika,Arnika,≤100
247496558635779,Jake&James,These ads ran without a disclaimer,≤100
152534811582336,ENIKA.CZ,These ads ran without a disclaimer,≤100
120827990990644,Elite Properties Dubai,These ads ran without a disclaimer,≤100
103568159436395,Datarun.cz,These ads ran without a disclaimer,≤100
558995474161225,Kaktus,These ads ran without a disclaimer,≤100
273301332769918,Academic Positions,These ads ran without a disclaimer,≤100
107602278630124,Ghdkjtghjg,These ads ran without a disclaimer,≤100
2246804255356839,FightLive CZ/SK,These ads ran without a disclaimer,≤100
1469427909957890,Reportér magazín,These ads ran without a disclaimer,≤100
102606849502607,Окунь Сергій,These ads ran without a disclaimer,≤100
1674202749319725,ACRI - Asociace podniků českého železničního průmyslu,These ads ran without a disclaimer,≤100
123720971086368,Cinema City Česká republika,These ads ran without a disclaimer,≤100
630809920303095,Erasmus+,These ads ran without a disclaimer,≤100
389594514246972,Antonín Klecanda - radní pro školství a sport,These ads ran without a disclaimer,≤100
173027296401,Střední škola obchodní a služeb SČMSD Polička s.r.o.,These ads ran without a disclaimer,≤100
110907982252856,Oční centrum Praha a.s.,These ads ran without a disclaimer,≤100
375824363195,jewish-eshop.cz,These ads ran without a disclaimer,≤100
109445939080479,Najada.cz,These ads ran without a disclaimer,≤100
139976962540050,Premium Residences Dubai,These ads ran without a disclaimer,≤100
185565074804788,Nakladatelství PROSTOR,These ads ran without a disclaimer,≤100
118904461524646,Frank Bold,These ads ran without a disclaimer,≤100
916132471761586,Elegantní Česko,These ads ran without a disclaimer,≤100
314173801992238,Nadační fond pomoci Karla Janečka,These ads ran without a disclaimer,≤100
249906498387772,Ústav estetické medicíny,These ads ran without a disclaimer,≤100
150533271486410,Robert Hartman,These ads ran without a disclaimer,≤100
388199977717789,Martin Horák,These ads ran without a disclaimer,≤100
230065377563230,Interreg,These ads ran without a disclaimer,≤100
1562059410771351,Luboš Zálom • Svobodní,These ads ran without a disclaimer,≤100
101699612789228,Lay,These ads ran without a disclaimer,≤100
204847128458,World Parrot Trust,These ads ran without a disclaimer,≤100
117443068305863,INSS - The Institute for National Security Studies,These ads ran without a disclaimer,≤100
447167062064041,Vladimíra Ludková,These ads ran without a disclaimer,≤100
468299703027197,nslobodyan333,These ads ran without a disclaimer,≤100
100692202953755,Monika_charova_finance,These ads ran without a disclaimer,≤100
915410985473768,LP Energy - Energetické poradenství,These ads ran without a disclaimer,≤100
246422585907712,Wekeo,These ads ran without a disclaimer,≤100
242117635912490,ODS - Plzeňský kraj,Občanská demokratická strana,≤100
118342924551944,Rostislav Šťastný,These ads ran without a disclaimer,≤100
144424312096639,Prostě fenomén,These ads ran without a disclaimer,≤100
441371052635518,Peter Harvánek - veřejný profil,Peter Harvánek - veřejný profil,≤100
645738972165960,IRU,These ads ran without a disclaimer,≤100
101629861374342,Zakladanistaveb,These ads ran without a disclaimer,≤100
610696639428997,VEOCEL,These ads ran without a disclaimer,≤100
127601381272,Liga lidských práv,These ads ran without a disclaimer,≤100
116445271562547,Dárek,These ads ran without a disclaimer,≤100
574785829655277,Přidej se a strhni to,These ads ran without a disclaimer,≤100
258343517703804,Golden Gate,These ads ran without a disclaimer,≤100
197282550390129,"Matouš Pelikán, politik a advokát","Matouš Pelikán, politik a advokát",≤100
223848441680279,Tomáš Dubský,STAROSTOVÉ A NEZÁVISLÍ,≤100
113949954993614,MENA Research Center,These ads ran without a disclaimer,≤100
481882431991896,Česko-německý fond budoucnosti/ Deutsch-Tschechischer Zukunftsfonds,These ads ran without a disclaimer,≤100
152837797920099,Herbal Heaven,These ads ran without a disclaimer,≤100
123343344354078,"Hitrádio City 93,7 FM","Media Marketing Services, a.s.",≤100
143224802395723,Khalifa Award for Education,These ads ran without a disclaimer,≤100
363156910219222,Vladislav Kropáček,These ads ran without a disclaimer,≤100
1643251519323223,Nadační Fond Modrá Rybka,These ads ran without a disclaimer,≤100
271688916342751,"Michael Sinkule, zastupitel MO Plzeň 3","Michael Sinkule, zastupitel MO Plzeň 3",≤100
103068351300691,Eduard Stehlík,These ads ran without a disclaimer,≤100
390881324793450,Sportovna,These ads ran without a disclaimer,≤100
72854632984,Hitrádio ORION,"Media Marketing Services, a.s.",≤100
431878160005981,Tierra Verde CZ&SK,These ads ran without a disclaimer,≤100
270252536876598,Tudományos Stand Up,These ads ran without a disclaimer,≤100
274981549029112,Sports Leaders Summit Ostrava,V4 Communications s.r.o.,≤100
444861662333137,Obcasnik.eu,OBCASNIK.EU,≤100
101932651984130,KultiVary,These ads ran without a disclaimer,≤100
