Disclaimer,Year,Amount spent (CZK)
Starostové a nezávislí Unhošť,2025,217
Tomáš Kaněra - starosta MČ Praha 22,2025,214
"Ondřej Nováček, radní Prahy 11",2025,205
Újezd21,2025,204
hnutí O.k.,2025,187
Ministerstvo životního prostředí,2025,175
"Jan Kolář, zastupitel města Holešov",2025,169
"Ladislav Valtr, Pardubický kraj",2025,147
Tomáš má rád Jihlavu,2025,137
"Michal Vronský, starosta Prahy 3",2025,131
Kř. centrum pro rodinu Horizont,2025,125
Martin Rybár,2025,117
Odborový svaz zdravotnictví a sociální péče ČR,2025,110
Petr Beneš,2025,106
Štěpán Bekárek,2025,104
"Oživení, z.s.",2025,103
PRodukujeme,2025,102
"Petr Šula, 1. místostarosta MČ Praha 12",2025,102
