Page ID,Amount spent (CZK),Number of ads in Library,Number of days
378937462177458,4921,35,28
384187235387895,159847,376,237
389319097602660,6666,64,38
392036724286541,75999,172,71
392129760647537,27694,1143,36
393968607139343,44874,250,61
405855592604500,34452,79,24
413781585866108,3785,48,24
415013742606508,52850,841,326
415472211798220,106885,2397,242
416970502094774,6763,31,31
424114981002397,268670,4611,295
424649884060896,58057,1167,67
426207097775426,3416,34,29
441371052635518,33699,210,76
443133249062600,113070,1170,121
447167062064041,67208,615,192
447844645078491,5765,212,21
461430503957309,30543,77,72
462447430809625,160096,1281,22
466459903794526,46945,243,45
470593056405865,494411,2733,74
476705242720084,52627,136,35
487445514669670,872457,1339,254
488342087894398,110334,244,32
490930117644709,757437,793,141
495496033796328,110152,1478,267
496346277123749,356758,980,109
507258755976850,12809,70,29
525606624188429,10284,54,46
527351247377965,10518,81,28
528573226994553,4948,203,24
545254525495201,18549,82,55
548487565163265,12766,290,64
551976351670874,366120,9918,345
553405241527947,19257,194,74
553773474671244,5805,46,25
573004246504627,19529,1359,87
574107592700484,96091,380,98
574403236101561,83684,252,70
578342809023884,29977,211,78
579215965436046,157921,1449,231
581919708494005,58987,146,36
587682004653785,14767,49,25
590249011043899,8136,159,52
597980334012769,495429,1024,84
605208513007852,151772,1362,155
609246842426009,49839,509,152
611867212191950,97377,137,28
629195630792582,13462,85,76
629968647053447,4320,37,23
634087193362282,23117,163,98
648648261893473,806638,962,186
662196877287140,26867,255,169
693725074166331,217742,1469,379
707458719329186,7427,176,36
711658465662315,178679,11569,371
728495140691300,746072,6170,373
731980267233834,45679,238,102
733410133337387,142686,3093,181
742950425746951,39568,355,138
764875520231706,36675,69,26
777638625687541,35005,78,49
797495933631139,13142,53,32
799083753454179,63722,1169,169
809013272468388,27259,57,47
822146574595819,58742,191,129
840906766014124,15666,59,36
849315472073267,146494,1768,354
851847531608949,74363,139,22
863066993754032,12777,98,71
872454636138704,75723,1056,65
884837951550237,144342,613,84
944358442253364,32751,247,76
944792105610443,405858,941,93
952005618247538,148084,265,77
966463226699666,7468,41,39
983533828348884,9247,113,58
984354481639945,7525,173,23
989225617882268,222056,743,211
992961290717515,54277,940,96
995938427265360,73089,208,55
996724667073669,10935,124,45
1060889564019324,5571,40,32
