ad_id,country,age_range,male,female,unknown
1086026380192053,CZ,18-24,5444.0,1276.0,343.0
1086026380192053,CZ,25-34,2303.0,283.0,83.0
1086026380192053,CZ,35-44,1176.0,134.0,7.0
1066119824897093,CZ,18-24,827.0,180.0,56.0
1066119824897093,CZ,25-34,570.0,82.0,12.0
1066119824897093,CZ,35-44,933.0,131.0,6.0
1066119824897093,CZ,45-54,3152.0,766.0,24.0
1066119824897093,CZ,55-64,2105.0,851.0,19.0
502492265888394,CZ,18-24,301.0,44.0,16.0
502492265888394,CZ,45-54,1160.0,356.0,14.0
502492265888394,CZ,65+,2631.0,2917.0,37.0
502492265888394,CZ,55-64,1631.0,1191.0,15.0
502492265888394,CZ,35-44,392.0,52.0,1.0
502492265888394,CZ,25-34,230.0,35.0,4.0
1061320372274488,CZ,18-24,14585.0,2495.0,897.0
1061320372274488,CZ,25-34,10517.0,1281.0,305.0
1061320372274488,CZ,35-44,3914.0,621.0,86.0
1061320372274488,CZ,45-54,2844.0,892.0,42.0
1061320372274488,CZ,55-64,892.0,481.0,24.0
534604992448338,CZ,18-24,2094.0,282.0,110.0
534604992448338,CZ,25-34,2649.0,298.0,45.0
534604992448338,CZ,35-44,3712.0,407.0,38.0
534604992448338,CZ,45-54,482.0,69.0,8.0
1163918554713042,CZ,18-24,780.0,99.0,41.0
1163918554713042,CZ,25-34,1321.0,152.0,25.0
1163918554713042,CZ,35-44,1747.0,211.0,10.0
1163918554713042,CZ,45-54,2820.0,710.0,28.0
1163918554713042,CZ,55-64,1701.0,756.0,18.0
2428833183989350,CZ,18-24,1323.0,133.0,76.0
2428833183989350,CZ,25-34,1298.0,157.0,25.0
2428833183989350,CZ,35-44,1961.0,270.0,12.0
2428833183989350,CZ,45-54,3232.0,844.0,25.0
2428833183989350,CZ,55-64,1928.0,902.0,14.0
1737574433668529,CZ,18-24,11735.0,1307.0,621.0
1737574433668529,CZ,25-34,10014.0,788.0,205.0
1737574433668529,CZ,35-44,4534.0,516.0,67.0
